Category;Product Name;Package Quantity;SKU;Power (Watts);Footprint (SQ FT);Manufacturing Cost;Suggested Retail;Product Line;Target Consumer;Availability;Units Available
Lightbulbs;K-Eco Energy Bulbs 23W  (8-pack);8;KE23W08;23;n/a;11,6;17,5;Economy;Domestic, Corporate, Personal;In stock;8990
Solar panels;K-Eco 250;1;KE250;250;16;225;437,5;Economy;Domestic;In stock;1201
Solar panels;K-Eco 250x (same power, smaller footprint);1;KE250X;250;10;480;650;Deluxe;Domestic;On back order;0
Solar panels;K-Eco 275;1;KE275;275;18,3;247,5;481,25;Economy;Domestic;In stock;855
Solar panels;K-Eco 300;1;KE300;300;20,2;270;525;Economy;Domestic, Corporate;In stock;748
Solar panels;K-Eco 325;1;KE325;325;22,2;292,5;568,75;Economy;Domestic, Corporate;In stock;1023
Solar panels;K-Eco 325x (same power, smaller footprint);1;KE325X;325;15,05;380;890,5;Deluxe;Domestic, Corporate;On back order;0
Batteries;K-Eco 36-volt Lithium-ion solar backup battery;1;KE36Li;n/a;n/a;2800;7500;Economy;Domestic;In stock;320
Solar panels;K-Eco 450;1;KE450;450;25,5;405;787,5;Economy;Corporate;In stock;408
Batteries;K-Eco 48-volt Lithium-ion solar backup battery;1;KE48Li;n/a;n/a;3500;13233;Economy;Domestic, Corporate;In stock;308
Solar panels;K-Eco Mini ;1;KE5;5;0,075;16,25;39,95;Economy;Personal;In stock;3506
Solar panels;K-Eco 575;1;KE575;575;28,7;517,5;1006,25;Economy;Corporate;In stock;295
Solar panels;K-Eco 625;1;KE625;625;32,3;580;1200,23;Economy;Corporate;In stock;176
Solar panels;K-Eco 700;1;KE700;700;35,6;620;1500;Economy;Corporate;On back order;0
Lightbulbs;K-Eco Energy Bulbs 9W ;1;KE9W;9;n/a;0,55;2;Economy;Domestic, Corporate, Personal;In stock;23056
Lightbulbs;K-Eco Energy Bulbs 9W (4-pack);4;KE9W04;9;n/a;2,2;6,2;Economy;Domestic, Corporate, Personal;In stock;19056
Lightbulbs;K-Eco Energy Bulbs 9W  (8-pack);8;KE9W08;9;n/a;4,4;9,5;Economy;Domestic, Corporate, Personal;In stock;12346
Batteries;K-Eco AA  NiMH rechargeable batteries (6-pack);1;KEAA06;n/a;n/a;2,5;7,35;Economy;Domestic, Corporate, Personal;In stock;4509
Batteries;K-Eco AA  NiMH rechargeable batteries (12-pack);1;KEAA12;n/a;n/a;5;12,5;Economy;Domestic, Corporate, Personal;In stock;3678
Batteries;K-Eco  AAA NiMH rechargeable batteries  (6-pack);1;KEAAA06;n/a;n/a;2,2;6,5;Economy;Domestic, Corporate, Personal;In stock;5403
Batteries;K-Eco  AAA NiMH rechargeable batteries (12-pack);1;KEAAA12;n/a;n/a;4,4;9,8;Economy;Domestic, Corporate, Personal;In stock;3489
Wind harvester;K-Eco Blast 100;1;KEBL100;100;8,45;175;280;Economy;Personal;In stock;458
Wind harvester;K-Eco Blast 1200;1;KEBL1200;1200;87,5;1050;2300;Economy;Corporate;In stock;190
Wind harvester;K-Eco Blast 200;1;KEBL200;200;15,5;230;550;Economy;Domestic;In stock;725
Wind harvester;K-Eco Blast 400;1;KEBL400;400;23,5;455;880;Economy;Domestic;In stock;680
Wind harvester;K-Eco Blast 400x (same power, smaller footprint);1;KEBL400;400;16;650;1000,25;Deluxe;Domestic;In stock;248
Wind harvester;K-Eco Blast 600;1;KEBL600;600;33,4;585;1025;Economy;Domestic, Corporate;In stock;323
Wind harvester;K-Eco Blast 800;1;KEBL800;800;42;685;1280;Economy;Corporate;In stock;280
Wind harvester;K-Eco Breeze Mini ;1;KEBR5;5;n/a;31,45;55;Economy;Personal;In stock;1200
Landscape lighting;K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery;1;KEPATH01;N/A;n/a;1,22;5,25;Economy;Domestic;In stock;4688
Landscape lighting;K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack);4;KEPATH04;N/A;n/a;4,88;19,03;Economy;Domestic;On back order;0
Landscape lighting;K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack);8;KEPATH08;N/A;n/a;9,76;33,18;Economy;Domestic;In stock;3244
Landscape lighting;K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack);12;KEPATH12;N/A;n/a;14,64;43,92;Economy;Domestic;In stock;2855
Grid Tie Inverters;K-Invert 13K;1;KI13K;13000;n/a;20800;28600;Economy;Corporate;On back order;0
Grid Tie Inverters;K-Invert 20K;1;KI20K;20000;n/a;32000;44000;Economy;Corporate;In stock;98
Grid Tie Inverters;K-Invert 2K;1;KI2K;2000;n/a;2300;3060;Economy;Domestic;In stock;225
Grid Tie Inverters;K-Invert 4K;1;KI4K;4000;n/a;4600;6120;Economy;Domestic;In stock;328
Grid Tie Inverters;K-Invert 7K;1;KI7K;7000;n/a;8050;10710;Economy;Domestic;In stock;267
Grid Tie Inverters;K-Invert 9K;1;KI9K;9000;n/a;14400;19800;Economy;Domestic, Corporate;On back order;0
