Order ID;Customer ID;Date of Purchase;SKU;Product Name;Quantity;Total Price;Discount;Date of Shipping;Ship Mode
AR-2023-105998;OM513;03.11.2023;KEPATH04;K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack);5;58,99;0,38;05.11.2023;First Class
AR-2023-109946;BA261;16.04.2023;KEAA06;K-Eco AA  NiMH rechargeable batteries (6-pack);5;19,85;0,46;21.04.2023;Standard Class
AR-2023-115154;OM513;08.01.2023;KE275;K-Eco 275;2;808,5;0,16;11.01.2023;First Class
AR-2023-118773;OM513;09.02.2023;KE9W04;K-Eco Energy Bulbs 9W (4-pack);2;4,09;0,67;14.02.2023;Standard Class
AR-2023-118773;OM513;09.02.2023;KEBL400;K-Eco Blast 400;2;1144;0,35;14.02.2023;Standard Class
AR-2023-118773;OM513;09.02.2023;KEPATH08;K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack);2;51,1;0,23;14.02.2023;Standard Class
AR-2023-118892;OM513;17.08.2023;KEPATH01;K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery;9;44,41;0,06;22.08.2023;Second Class
AR-2023-119011;RH129;20.08.2023;KEAA12;K-Eco AA  NiMH rechargeable batteries (12-pack);6;53,25;0,29;25.08.2023;Standard Class
AR-2023-119011;RH129;20.08.2023;KI13K;K-Invert 13K;3;85800;0;25.08.2023;Standard Class
AR-2023-119564;BA261;15.12.2023;KE20W04;K-Eco Energy Bulbs 20W (4-pack);3;13,19;0,41;20.12.2023;Standard Class
AR-2023-119662;RH129;13.11.2023;KEAAA06;K-Eco  AAA NiMH rechargeable batteries  (6-pack);3;15,21;0,22;16.11.2023;First Class
AR-2023-120649;OM513;20.01.2023;KE12Li;K-Eco 12-volt Lithium-ion solar backup battery;2;8640;0,04;26.01.2023;Standard Class
AR-2023-122056;AO423;13.06.2023;KEAAA06;K-Eco  AAA NiMH rechargeable batteries  (6-pack);7;12,74;0,72;17.06.2023;Standard Class
AR-2023-123022;RH129;03.09.2023;KI13K;K-Invert 13K;5;134420;0,06;08.09.2023;Standard Class
AR-2023-126662;BA261;17.07.2023;KE13W;K-Eco Energy Bulbs 13W;2;1,66;0,63;21.07.2023;Standard Class
AR-2023-127096;RH129;15.09.2023;KE325;K-Eco 325;1;301,44;0,47;17.09.2023;Second Class
AR-2023-127705;BA261;02.06.2023;KEAA12;K-Eco AA  NiMH rechargeable batteries (12-pack);2;8,75;0,65;06.06.2023;Standard Class
AR-2023-128951;OM513;15.07.2023;KE325;K-Eco 325;3;1143,19;0,33;17.07.2023;First Class
AR-2023-128951;OM513;15.07.2023;KEBL400;K-Eco Blast 400;3;1452;0,45;17.07.2023;First Class
AR-2023-130631;BA261;29.12.2023;KE13W;K-Eco Energy Bulbs 13W;2;2,91;0,35;02.01.2023;Standard Class
AR-2023-130631;BA261;29.12.2023;KE13W08;K-Eco Energy Bulbs 13W  (8-pack);5;16,31;0,71;02.01.2023;Standard Class
AR-2023-133312;OM513;25.11.2023;KEAAA12;K-Eco  AAA NiMH rechargeable batteries (12-pack);1;3,82;0,61;29.11.2023;Standard Class
AR-2023-135069;BA261;10.04.2023;KE9W04;K-Eco Energy Bulbs 9W (4-pack);3;12,09;0,35;14.04.2023;Standard Class
AR-2023-135111;RH129;28.12.2023;KE48Li;K-Eco 48-volt Lithium-ion solar backup battery;1;11909,7;0,1;02.01.2023;Standard Class
AR-2023-135111;RH129;28.12.2023;KI13K;K-Invert 13K;5;143000;0;02.01.2023;Standard Class
AR-2023-135986;AO423;20.06.2023;KEBL100;K-Eco Blast 100;5;784;0,44;27.06.2023;Standard Class
AR-2023-137344;OM513;20.08.2023;KE48Li;K-Eco 48-volt Lithium-ion solar backup battery;3;36920,07;0,07;20.08.2023;Same Day
AR-2023-137876;BA261;30.04.2023;KE9W04;K-Eco Energy Bulbs 9W (4-pack);2;4,09;0,67;05.05.2023;Standard Class
AR-2023-139619;RH129;19.09.2023;KE48Li;K-Eco 48-volt Lithium-ion solar backup battery;2;22496,1;0,15;23.09.2023;Standard Class
AR-2023-142888;AO423;21.11.2023;KE5;K-Eco Mini;1;33,56;0,16;25.11.2023;Standard Class
AR-2023-148264;OM513;08.12.2023;KE20W;K-Eco Energy Bulbs 20W;2;2,6;0,51;09.12.2023;First Class
AR-2023-148264;OM513;08.12.2023;KEAAA06;K-Eco  AAA NiMH rechargeable batteries  (6-pack);3;12,29;0,37;09.12.2023;First Class
AR-2023-148264;OM513;08.12.2023;KEBL400;K-Eco Blast 400x (same power, smaller footprint);9;8012;0,11;09.12.2023;First Class
AR-2023-153339;BA261;03.11.2023;KE9W04;K-Eco Energy Bulbs 9W (4-pack);1;2,05;0,67;05.11.2023;Second Class
AR-2023-154123;RH129;20.11.2023;KE13W;K-Eco Energy Bulbs 13W;2;2,51;0,44;25.11.2023;Standard Class
AR-2023-155873;BA261;16.06.2023;KEBR5;K-Eco Breeze Mini;3;100,65;0,39;21.06.2023;Standard Class
AR-2023-156391;BA261;26.09.2023;KEAAA12;K-Eco  AAA NiMH rechargeable batteries (12-pack);1;6,86;0,3;28.09.2023;First Class
AR-2023-157469;RH129;02.12.2023;KEAA12;K-Eco AA  NiMH rechargeable batteries (12-pack);9;47,25;0,58;07.12.2023;Standard Class
AR-2023-157469;RH129;02.12.2023;KEBL800;K-Eco Blast 800;2;1664;0,35;07.12.2023;Standard Class
AR-2023-159884;OM513;31.08.2023;KE23W04;K-Eco Energy Bulbs 23W (4-pack);3;30,96;0,14;05.09.2023;Standard Class
AR-2023-159884;OM513;31.08.2023;KE48Li;K-Eco 48-volt Lithium-ion solar backup battery;1;12968,34;0,02;05.09.2023;Standard Class
AR-2023-162124;OM513;06.05.2023;KEPATH12;K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack);4;114,19;0,35;10.05.2023;Standard Class
AR-2023-184712;OM513;18.06.2023;KEBL600;K-Eco Blast 600;3;1875,75;0,39;20.06.2023;Second Class
AZ-2022-100300;EN774;24.06.2022;KE625;K-Eco 625;4;2784,53;0,42;26.06.2022;Second Class
AZ-2022-101168;EB529;25.12.2022;KE20W08;K-Eco Energy Bulbs 20W  (8-pack);4;45,14;0,09;01.01.2023;Standard Class
AZ-2022-101189;KH106;04.02.2022;KEAAA12;K-Eco  AAA NiMH rechargeable batteries (12-pack);2;8,23;0,58;09.02.2022;Standard Class
AZ-2022-102813;KH106;02.07.2022;KEBL1200;K-Eco Blast 1200;8;17480;0,05;03.07.2022;First Class
AZ-2022-106397;EN774;07.07.2022;KEAAA12;K-Eco  AAA NiMH rechargeable batteries (12-pack);2;6,66;0,66;13.07.2022;Standard Class
AZ-2022-106397;EN774;07.07.2022;KEBL800;K-Eco Blast 800;2;2278,4;0,11;13.07.2022;Standard Class
AZ-2022-106621;EB529;29.09.2022;KEAAA12;K-Eco  AAA NiMH rechargeable batteries (12-pack);4;29,79;0,24;01.10.2022;Second Class
AZ-2022-107104;KH106;26.11.2022;KE9W04;K-Eco Energy Bulbs 9W (4-pack);6;32,36;0,13;30.11.2022;Standard Class
AZ-2022-107104;KH106;26.11.2022;KEAAA12;K-Eco  AAA NiMH rechargeable batteries (12-pack);9;41,45;0,53;30.11.2022;Standard Class
AZ-2022-107104;KH106;26.11.2022;KI20K;K-Invert 20K;8;337920;0,04;30.11.2022;Standard Class
AZ-2022-108987;EB529;08.09.2022;KEAA12;K-Eco AA  NiMH rechargeable batteries (12-pack);3;24;0,36;10.09.2022;Second Class
AZ-2022-120257;EN774;22.09.2022;KEAAA12;K-Eco  AAA NiMH rechargeable batteries (12-pack);3;12,64;0,57;28.09.2022;Standard Class
AZ-2022-121447;KH106;21.02.2022;KE13W08;K-Eco Energy Bulbs 13W  (8-pack);7;25,99;0,67;22.02.2022;First Class
AZ-2022-124149;EN774;23.04.2022;KEAA06;K-Eco AA  NiMH rechargeable batteries (6-pack);5;34,54;0,06;26.04.2022;First Class
AZ-2022-124149;EN774;23.04.2022;KEBL600;K-Eco Blast 600;6;5535;0,1;26.04.2022;First Class
AZ-2022-132857;EN774;11.12.2022;KEAAA12;K-Eco  AAA NiMH rechargeable batteries (12-pack);3;11,47;0,61;17.12.2022;Standard Class
AZ-2022-132990;KH106;01.08.2022;KE23W08;K-Eco Energy Bulbs 23W  (8-pack);2;28,7;0,18;03.08.2022;Second Class
AZ-2022-133368;EB529;14.01.2022;KE13W;K-Eco Energy Bulbs 13W;8;14,87;0,17;20.01.2022;Standard Class
AZ-2022-136231;EN774;05.09.2022;KEBL600;K-Eco Blast 600;3;2460;0,2;07.09.2022;Second Class
AZ-2022-140046;KH106;28.07.2022;KE300;K-Eco 300;3;1480,5;0,06;03.08.2022;Standard Class
AZ-2022-140382;KH106;23.06.2022;KE575;K-Eco 575;3;2928,19;0,03;25.06.2022;Second Class
AZ-2022-140382;KH106;23.06.2022;KEAA06;K-Eco AA  NiMH rechargeable batteries (6-pack);4;12,94;0,56;25.06.2022;Second Class
AZ-2022-140382;KH106;23.06.2022;KEBL800;K-Eco Blast 800;1;1152;0,1;25.06.2022;Second Class
AZ-2022-154235;KH106;24.09.2022;KE20W04;K-Eco Energy Bulbs 20W (4-pack);3;11,62;0,48;28.09.2022;Standard Class
AZ-2022-157266;KH106;26.05.2022;KE13W;K-Eco Energy Bulbs 13W;3;2,96;0,56;01.06.2022;Standard Class
AZ-2022-157266;KH106;26.05.2022;KEBL1200;K-Eco Blast 1200;3;6279;0,09;01.06.2022;Standard Class
AZ-2022-160500;EN774;05.05.2022;KI20K;K-Invert 20K;5;198000;0,1;08.05.2022;First Class
AZ-2022-160528;EB529;23.08.2022;KE13W08;K-Eco Energy Bulbs 13W  (8-pack);3;16,88;0,5;30.08.2022;Standard Class
AZ-2022-163153;EB529;21.03.2022;KE5;K-Eco Mini;2;36,75;0,54;25.03.2022;Standard Class
AZ-2022-163951;KH106;30.12.2022;KEAAA12;K-Eco  AAA NiMH rechargeable batteries (12-pack);5;48,51;0,01;02.01.2023;First Class
AZ-2022-164924;KH106;10.07.2022;KE575;K-Eco 575;3;2143,31;0,29;10.07.2022;Same Day
AZ-2022-165316;KH106;23.07.2022;KE325;K-Eco 325;1;540,31;0,05;27.07.2022;Standard Class
AZ-2022-165316;KH106;23.07.2022;KEAA06;K-Eco AA  NiMH rechargeable batteries (6-pack);2;10,44;0,29;27.07.2022;Standard Class
AZ-2022-168956;KH106;16.02.2022;KE20W08;K-Eco Energy Bulbs 20W  (8-pack);4;31,25;0,37;20.02.2022;Standard Class
AZ-2023-101182;EN774;04.09.2023;KEBL1200;K-Eco Blast 1200;3;5796;0,16;05.09.2023;First Class
AZ-2023-105389;EN774;23.10.2023;KI9K;K-Invert 9K;3;57024;0,04;28.10.2023;Second Class
AZ-2023-108315;EB529;30.04.2023;KE20W08;K-Eco Energy Bulbs 20W  (8-pack);6;60,26;0,19;04.05.2023;Standard Class
AZ-2023-108322;EB529;30.04.2023;KE23W08;K-Eco Energy Bulbs 23W  (8-pack);8;84;0,4;05.05.2023;Standard Class
AZ-2023-110429;EN774;03.11.2023;KI9K;K-Invert 9K;3;51678;0,13;08.11.2023;Standard Class
AZ-2023-114055;EB529;25.12.2023;KE23W08;K-Eco Energy Bulbs 23W  (8-pack);2;7,35;0,79;29.12.2023;Second Class
AZ-2023-116988;EB529;27.06.2023;KE23W08;K-Eco Energy Bulbs 23W  (8-pack);3;49,88;0,05;29.06.2023;Second Class
AZ-2023-116988;EB529;27.06.2023;KEBR5;K-Eco Breeze Mini;3;77,55;0,53;29.06.2023;Second Class
AZ-2023-122175;EN774;12.05.2023;KE13W08;K-Eco Energy Bulbs 13W  (8-pack);5;25,31;0,55;14.05.2023;Second Class
AZ-2023-124401;KH106;07.09.2023;KEAAA12;K-Eco  AAA NiMH rechargeable batteries (12-pack);3;26,75;0,09;12.09.2023;Standard Class
AZ-2023-127726;EN774;11.09.2023;KE13W08;K-Eco Energy Bulbs 13W  (8-pack);4;40,5;0,1;13.09.2023;Second Class
AZ-2023-131492;EN774;19.10.2023;KE450;K-Eco 450;10;5827,5;0,26;24.10.2023;Second Class
AZ-2023-131492;EN774;19.10.2023;KE575;K-Eco 575;2;1851,5;0,08;24.10.2023;Second Class
AZ-2023-131492;EN774;19.10.2023;KE9W04;K-Eco Energy Bulbs 9W (4-pack);2;3,97;0,68;24.10.2023;Second Class
AZ-2023-131961;EN774;08.12.2023;KEBL800;K-Eco Blast 800;2;1459,2;0,43;11.12.2023;First Class
AZ-2023-134481;KH106;27.08.2023;KE575;K-Eco 575;7;3944,5;0,44;01.09.2023;Standard Class
AZ-2023-137323;EB529;14.11.2023;KEAA12;K-Eco AA  NiMH rechargeable batteries (12-pack);6;27;0,64;18.11.2023;Second Class
AZ-2023-140844;KH106;19.06.2023;KEBL1200;K-Eco Blast 1200;2;4278;0,07;23.06.2023;Standard Class
AZ-2023-142125;KH106;21.10.2023;KI20K;K-Invert 20K;5;191400;0,13;27.10.2023;Standard Class
AZ-2023-144638;EB529;10.03.2023;KE13W04;K-Eco Energy Bulbs 13W (4-pack);1;4,85;0,26;14.03.2023;Standard Class
AZ-2023-144638;EB529;10.03.2023;KE20W08;K-Eco Energy Bulbs 20W  (8-pack);2;11,9;0,52;14.03.2023;Standard Class
AZ-2023-144638;EB529;10.03.2023;KEAA12;K-Eco AA  NiMH rechargeable batteries (12-pack);2;20,25;0,19;14.03.2023;Standard Class
AZ-2023-144638;EB529;10.03.2023;KEBR5;K-Eco Breeze Mini;3;90,75;0,45;14.03.2023;Standard Class
AZ-2023-145366;EB529;09.12.2023;KEAAA12;K-Eco  AAA NiMH rechargeable batteries (12-pack);1;9,8;0;13.12.2023;Standard Class
AZ-2023-146724;EB529;20.11.2023;KEAAA06;K-Eco  AAA NiMH rechargeable batteries  (6-pack);10;31,2;0,52;27.11.2023;Standard Class
